epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.0319133959710598,-8.694426536560059
0,9,0.037697289139032364,,-0.07519121468067169,,,
1,19,,,,,0.008799713104963303,-0.7636998295783997
1,19,0.005346148740500212,,0.8451828956604004,,,
2,29,,,,,0.0021719473879784346,0.6308502554893494
2,29,0.0024593074340373278,,0.9311111569404602,,,
3,39,,,,,0.0017299961764365435,0.7100352644920349
3,39,0.0016182411927729845,,0.9548749923706055,,,
4,49,,0.0009172479622066021,,0.9748534560203552,,
4,49,,,,,0.0021051312796771526,0.7033709287643433
4,49,0.0011273755226284266,,0.9674259424209595,,,
5,59,,,,,0.001194438780657947,0.5154520273208618
5,59,0.001175388810224831,,0.9666541218757629,,,
6,69,,,,,0.0011917183874174953,0.8462421894073486
6,69,0.0008689227397553623,,0.9757493734359741,,,
7,79,,,,,0.0027463682927191257,0.5550265312194824
7,79,0.0009829665068536997,,0.9717942476272583,,,
8,89,,,,,0.0012267339043319225,0.7545055150985718
8,89,0.0019120719516649842,,0.9468938112258911,,,
9,99,,0.0010575683554634452,,0.9727905988693237,,
9,99,,,,,0.0018781778635457158,0.6464847922325134
9,99,0.0008101295679807663,,0.9767282605171204,,,
10,109,,,,,0.0018593043787404895,0.708927571773529
10,109,0.0011776398168876767,,0.9661834836006165,,,
11,119,,,,,0.0010280816350132227,0.5330214500427246
11,119,0.0007441075285896659,,0.9792666435241699,,,
12,129,,,,,0.0006680746446363628,0.9054390788078308
12,129,0.001180684776045382,,0.9667905569076538,,,
13,139,,,,,0.0007894515292719007,0.6601040959358215
13,139,0.0010234847432002425,,0.9707738757133484,,,
14,149,,0.0025433357805013657,,0.9347744584083557,,
14,149,,,,,0.000827667536213994,0.8749075531959534
14,149,0.0009215264581143856,,0.9749820828437805,,,
